Stasiun dan Perhentian;Datang;Berangkat;
Surabaya Gubeng (SGU);-;12:00:00;
Ngagel (NGA);Ls;12:10:00;
Wonokromo (WO);12:07:00;12:13:00;
Sepanjang (SPJ);Ls;12:19:00;
Boharan (BH);Ls;12:26:00;
Krian (KRN);Ls;12:29:00;
Kedinding (KDN);Ls;12:32:00;
Tarik (TRK);Ls;12:35:00;
Mojokerto (MR);12:44:00;12:46:00;
Curahmalang (CRM);Ls;12:46:00;
Sumobito (SBO);Ls;12:56:00;
Peterongan (PTR);Ls;13:04:00;
Jombang (JG);13:06:00;13:09:00;
Sembung (SMB);Ls;13:15:00;
Kertosono (KTS);13:22:00;13:25:00;
Baron (BRN);Ls;13:33:00;
Sukomoro (SKM);Ls;13:40:00;
Nganjuk (NJ);13:45:00;13:48:00;
Bagor (BGR);Ls;13:54:00;
Saradan (SRD);Ls;14:05:00;
Caruban (CRB);14:13:00;14:15:00;
Babadan (BBD);Ls;14:23:00;
Madiun (MN);14:30:00;14:38:00;
Magetan (MAG);Ls;14:48:00;
Geneng (GG);Ls;14:55:00;
Ngawi (NGW);Ls;15:00:00;
Kedunggalar (KG);Ls;15:06:00;
Walikukun (WK);15:14:00;15:16:00;
Kedungbanteng (KDB);Ls;15:26:00;
Kebonromo (KRO);Ls;15:30:00;
Sragen (SR);15:36:00;15:38:00;
Masaran (MSR);Ls;15:45:00;
Kemiri (KMR);Ls;15:52:00;
Palur (PL);Ls;15:56:00;
Solojebres (SK);Ls;15:59:00;
Solobalapan (SLO);Ls;16:02:00;
Purwosari (PWS);16:07:00;16:12:00;
Gawok (GW);Ls;16:18:00;
Delanggu (DL);Ls;16:22:00;
Ceper (CE);Ls;16:26:00;
Klaten (KT);16:33:00;16:35:00;
Srowot (SWT);Ls;16:41:00;
Brambanan (BBN);Ls;16:45:00;
Maguwo (MGW);Ls;16:51:00;
Lempuyangan (LPN);16:57:00;17:03:00;
Yogyakarta (YK);Ls;17:06:00;
Patukan (PTN);Ls;17:11:00;
Rewulu (RWL);Ls;17:14:00;
Sentolo (STL);Ls;17:21:00;
Wates (WT);17:31:00;17:33:00;
Kedundang (KDG);Ls;17:39:00;
Wojo (WJ);Ls;17:44:00;
Jenar (JN);Ls;17:50:00;
Kutoarjo (KTA);18:01:00;18:06:00;
Butuh (BTH);Ls;18:11:00;
Prembun (PRB);Ls;18:15:30;
Kutowinangun (KWN);Ls;18:20:30;
Wonosari (WNS);Ls;18:23:00;
Kebumen (KM);18:28:00;18:30:00;
Sruweng (SRW);Ls;18:37:00;
Karang Anyar (KA);Ls;18:39:30;
Gombong (GB);18:46:00;18:48:00;
Ijo (IJ);Ls;18:55:00;
Tambak (TBK);Ls;18:58:00;
Sumpiuh (SPH);Ls;19:02:00;
Kemranjen (KJ);Ls;19:05:30;
Kroya (KYA);19:12:00;19:14:00;
Randegan (RDN);Ls;19:21:00;
Kebasen (KBS);Ls;19:24:00;
Notog (NTG);Ls;19:29:00;
Purwokerto (PWT);19:37:00;19:44:00;
Karanggandul (KGD);Ls;19:52:00;
Karangsari (KRR);Ls;20:00:00;
Patuguran (PAT);Ls;20:11:00;
Kretek (KRT);Ls;20:17:00;
Bumiayu (BMA);20:25:00;20:27:00;
Linggapura (LG);Ls;20:36:00;
Prupuk (PPK);20:48:00;20:50:00;
Songgom (SGG);Ls;20:59:00;
Larangan (LRA);Ls;21:03:00;
Ketanggungan (KGG);21:10:00;21:12:00;
Ciledug (CLD);21:25:00;21:27:00;
Sindanglaut (SDU);Ls;21:38:00;
Luwung (LWG);Ls;21:43:00;
Cirebon Prujakan (CNP);21:50:00;22:12:00;
Cirebon (CN);Ls;22:16:00;
Cangkring (CNK);Ls;22:22:00;
Bangoduwa (BDW);Ls;22:26:00;
Arjawinangun (AWN);22:31:00;22:33:00;
Kertasemaya (KTM);Ls;22:44:00;
Jatibarang (JTB);22:51:00;22:53:00;
Telagasari (TLS);Ls;23:01:00;
Terisi (TIS);Ls;23:07:00;
Kadokangabus (KAB);Ls;23:11:00;
Cilegeh (CLH);Ls;23:17:00;
Haurgeulis (HGL);23:25:00;23:27:00;
Cipunegara (CRA);Ls;23:33:00;
Pegadenbaru (PGB);Ls;23:38:00;
Cikaum (CKM);Ls;23:44:00;
Pasirbungur (PAS);Ls;23:48:00;
Pringkasap (PRI);Ls;23:52:00;
Pabuaran (PAB);Ls;23:56:00;
Tanjungrasa (TJS);Ls;00:00:00;
Cikampek (CKP);Ls;00:07:00;
Dawuan (DWN);Ls;00:10:00;
Kosambi (KOS);Ls;00:15:00;
Klari (KLI);Ls;00:18:00;
Karawang (KW);Ls;00:23:00;
Kedunggedeh (KDH);Ls;00:27:00;
Lemahabang (LMB);Ls;00:33:00;
Cikarang (CKR);00:38:00;00:40:00;
Telaga Murni (TLM);Ls;00:42:00;
Cibitung (CIT);Ls;00:46:00;
Tambun (TB);Ls;00:48:00;
Bekasitimur (BKST);Ls;00:50:00;
Bekasi (BKS);00:54:00;00:56:00;
Jatinegara (JNG);01:11:00;01:13:00;
Pondokjati (POK);Ls;01:15:00;
Kramat (KMT);Ls;01:18:00;
Gangsentiong (GST);Ls;01:20:00;
Pasar Senen (PSE);01:23:00;-;
