Stasiun dan Perhentian;Datang;Berangkat;
Pasar Senen (PSE);-;11:00:00;
Gangsentiong (GST);Ls;-;
Kramat (KMT);Ls;-;
Pondokjati (POK);Ls;-;
Jatinegara (JNG);Ls;11:10:00;
Bekasi (BKS);11:26:00;11:28:00;
Bekasitimur (BKST);Ls;-;
Tambun (TB);Ls;11:34:00;
Cibitung (CIT);Ls;-;
Telaga Murni (TLM);Ls;-;
Cikarang (CKR);11:42:00;11:44:00;
Lemahabang (LMB);Ls;11:49:00;
Kedunggedeh (KDH);Ls;11:57:00;
Karawang (KW);Ls;12:02:00;
Klari (KLI);Ls;12:07:00;
Kosambi (KOS);Ls;12:09:30;
Dawuan (DWN);Ls;12:14:00;
Cikampek (CKP);Ls;12:17:00;
Tanjungrasa (TJS);Ls;12:24:00;
Pabuaran (PAB);Ls;12:28:00;
Pringkasap (PRI);Ls;12:32:00;
Pasirbungur (PAS);Ls;12:36:00;
Cikaum (CKM);Ls;12:40:00;
Pegadenbaru (PGB);Ls;12:49:00;
Cipunegara (CRA);Ls;12:56:00;
Haurgeulis (HGL);13:02:00;13:04:00;
Cilegeh (CLH);Ls;13:12:00;
Kadokangabus (KAB);Ls;13:19:00;
Terisi (TIS);Ls;13:24:00;
Telagasari (TLS);Ls;13:30:00;
Jatibarang (JTB);13:38:00;13:41:00;
Kertasemaya (KTM);Ls;13:49:00;
Arjawinangun (AWN);14:00:00;14:02:00;
Bangoduwa (BDW);Ls;14:07:00;
Cangkring (CNK);Ls;14:10:00;
Cirebon (CN);Ls;14:16:00;
Cirebon Prujakan (CNP);14:19:00;14:24:00;
Luwung (LWG);Ls;14:31:00;
Sindanglaut (SDU);Ls;14:36:00;
Ciledug (CLD);14:47:00;14:49:00;
Ketanggungan (KGG);15:03:00;15:05:00;
Larangan (LRA);Ls;15:12:00;
Songgom (SGG);Ls;15:16:00;
Prupuk (PPK);15:26:00;15:28:00;
Linggapura (LG);Ls;15:39:00;
Bumiayu (BMA);15:48:00;15:50:00;
Kretek (KRT);Ls;15:58:00;
Patuguran (PAT);Ls;16:04:00;
Karangsari (KRR);Ls;16:14:00;
Karanggandul (KGD);Ls;16:22:00;
Purwokerto (PWT);16:30:00;16:35:00;
Notog (NTG);Ls;16:43:00;
Kebasen (KBS);Ls;16:48:00;
Randegan (RDN);Ls;16:51:00;
Kroya (KYA);16:58:00;17:00:00;
Kemranjen (KJ);Ls;17:07:00;
Sumpiuh (SPH);Ls;17:10:30;
Tambak (TBK);Ls;17:14:00;
Ijo (IJ);Ls;17:17:00;
Gombong (GB);17:23:00;17:25:00;
Karang Anyar (KA);Ls;17:32:00;
Sruweng (SRW);Ls;17:34:00;
Kebumen (KM);17:41:00;17:43:00;
Wonosari (WNS);Ls;17:48:00;
Kutowinangun (KWN);Ls;17:50:30;
Prembun (PRB);Ls;17:55:30;
Butuh (BTH);Ls;18:00:00;
Kutoarjo (KTA);18:05:00;18:10:00;
Jenar (JN);Ls;18:21:00;
Wojo (WJ);Ls;18:27:00;
Kedundang (KDG);Ls;18:31:30;
Wates (WT);18:37:00;18:40:00;
Sentolo (STL);Ls;18:50:00;
Rewulu (RWL);Ls;18:57:00;
Patukan (PTN);Ls;19:01:00;
Yogyakarta (YK);Ls;19:06:00;
Lempuyangan (LPN);19:10:00;19:15:00;
Maguwo (MGW);Ls;19:21:00;
Brambanan (BBN);Ls;19:26:00;
Srowot (SWT);Ls;19:30:00;
Klaten (KT);19:36:00;19:38:00;
Ceper (CE);Ls;19:46:00;
Delanggu (DL);Ls;19:50:00;
Gawok (GW);Ls;19:54:00;
Purwosari (PWS);20:00:00;20:05:00;
Solobalapan (SLO);Ls;20:09:00;
Solojebres (SK);Ls;20:13:00;
Palur (PL);Ls;20:16:00;
Kemiri (KMR);Ls;20:19:00;
Masaran (MSR);Ls;20:25:00;
Sragen (SR);20:33:00;20:35:00;
Kebonromo (KRO);Ls;20:41:00;
Kedungbanteng (KDB);Ls;20:45:00;
Walikukun (WK);20:55:00;20:57:00;
Kedunggalar (KG);Ls;21:05:00;
Ngawi (NGW);Ls;21:11:00;
Geneng (GG);Ls;21:16:00;
Magetan (MAG);Ls;21:22:00;
Madiun (MN);21:32:00;21:40:00;
Babadan (BBD);Ls;21:47:00;
Caruban (CRB);21:55:00;21:57:00;
Saradan (SRD);Ls;22:05:00;
Bagor (BGR);Ls;22:17:00;
Nganjuk (NJ);22:23:00;22:26:00;
Sukomoro (SKM);Ls;22:31:00;
Baron (BRN);Ls;22:38:00;
Kertosono (KTS);22:45:00;22:48:00;
Sembung (SMB);Ls;22:56:00;
Jombang (JG);23:03:00;23:06:00;
Peterongan (PTR);Ls;-;
Sumobito (SBO);Ls;23:17:00;
Curahmalang (CRM);Ls;-;
Mojokerto (MR);23:28:00;23:31:00;
Tarik (TRK);Ls;23:40:00;
Kedinding (KDN);Ls;23:43:00;
Krian (KRN);Ls;23:46:00;
Boharan (BH);Ls;23:49:00;
Sepanjang (SPJ);Ls;23:56:00;
Wonokromo (WO);00:03:00;00:06:00;
Ngagel (NGA);Ls;-;
Surabaya Gubeng (SGU);00:13:00;-;
