Stasiun dan Perhentian;Datang;Berangkat;
Surabaya Pasarturi (SBI);-;07:00:00;
Lamongan (LMG);07:33:00;07:36:00;
Babat (BBT);08:00:00;08:03:00;
Bojonegoro (BJ);08:33:00;08:36:00;
Cepu (CU);09:05:00;09:08:00;
Randublatung (RBG);09:28:00;09:30:00;
Kradenan (KNN);09:56:00;10:15:00;
Gambringan (GBN);10:41:00;10:46:00;
Gundih (GD);11:08:00;11:13:00;
Salem (SLM);11:34:00;11:36:00;
Solobalapan (SLO);11:56:00;12:00:00;
Klaten (KT);12:26:00;12:37:00;
Yogyakarta (YK);13:01:00;13:05:00;
Wates (WT);13:29:00;13:31:00;
Kutoarjo (KTA);13:59:00;14:02:00;
Kebumen (KM);14:24:00;14:26:00;
Gombong (GB);14:43:00;14:45:00;
Kroya (KYA);15:08:00;15:10:00;
Maos (MA);15:22:00;15:24:00;
Karangkandri (KKD);15:34:00;15:40:00;
Gumilir (GM);15:46:00;15:48:00;
Cilacap (CP);15:58:00;-;
