Stasiun dan Perhentian;Datang;Berangkat;
Cilacap (CP);-;17:10:00;
Gumilir (GM);17:19:00;17:21:00;
Kasugihan (KH);17:33:00;17:35:00;
Maos (MA);17:39:00;17:47:00;
Kroya (KYA);17:59:00;18:22:00;
Gombong (GB);18:45:00;18:59:00;
Kebumen (KM);19:15:00;19:17:00;
Kutoarjo (KTA);19:39:00;19:44:00;
Wates (WT);20:12:00;20:14:00;
Yogyakarta (YK);20:39:00;20:44:00;
Klaten (KT);21:08:00;21:10:00;
Solobalapan (SLO);21:37:00;21:45:00;
Salem (SLM);22:18:00;22:27:00;
Gundih (GD);23:03:00;23:08:00;
Gambringan (GBN);23:29:00;23:34:00;
Kradenan (KNN);23:59:00;00:01:00;
Randublatung (RBG);00:27:00;00:29:00;
Cepu (CU);00:53:00;00:56:00;
Bojonegoro (BJ);01:26:00;01:29:00;
Babat (BBT);01:58:00;02:01:00;
Lamongan (LMG);02:25:00;02:28:00;
Surabaya Pasarturi (SBI);03:00:00;-;
