Stasiun dan Perhentian;Datang;Berangkat;
Surabaya Gubeng (SGU);-;22:00:00;
Ngagel (NGA);Ls;22:04:00;
Wonokromo (WO);Ls;22:06:00;
Sepanjang (SPJ);Ls;22:10:00;
Boharan (BH);Ls;22:16:00;
Krian (KRN);Ls;22:19:00;
Kedinding (KDN);Ls;22:22:00;
Tarik (TRK);Ls;22:25:00;
Mojokerto (MR);22:33:00;22:35:00;
Curahmalang (CRM);Ls;22:40:00;
Sumobito (SBO);Ls;22:44:00;
Peterongan (PTR);Ls;22:50:00;
Jombang (JG);22:52:00;22:54:00;
Sembung (SMB);Ls;23:00:00;
Kertosono (KTS);Ls;23:05:00;
Baron (BRN);Ls;23:10:00;
Sukomoro (SKM);Ls;23:16:00;
Nganjuk (NJ);23:20:00;23:22:00;
Bagor (BGR);Ls;23:28:00;
Saradan (SRD);Ls;23:38:00;
Caruban (CRB);Ls;23:44:00;
Babadan (BBD);Ls;23:49:00;
Madiun (MN);23:56:00;00:02:00;
Magetan (MAG);Ls;00:11:00;
Geneng (GG);Ls;00:16:00;
Ngawi (NGW);Ls;00:20:00;
Kedunggalar (KG);Ls;00:25:00;
Walikukun (WK);Ls;00:31:00;
Kedungbanteng (KDB);Ls;00:39:00;
Kebonromo (KRO);Ls;00:43:00;
Sragen (SR);Ls;00:46:00;
Masaran (MSR);Ls;00:51:00;
Kemiri (KMR);Ls;00:56:00;
Palur (PL);Ls;00:59:00;
Solojebres (SK);Ls;01:02:00;
Solo Balapan (SLO);01:06:00;01:09:00;
Purwosari (PWS);Ls;01:13:00;
Gawok (GW);Ls;01:17:00;
Delanggu (DL);Ls;01:20:00;
Ceper (CE);Ls;01:24:00;
Klaten (KT);01:31:00;01:34:00;
Srowot (SWT);Ls;01:41:00;
Brambanan (BBN);Ls;01:45:00;
Maguwo (MGW);Ls;01:51:00;
Lempuyangan (LPN);Ls;01:56:00;
Yogyakarta (YK);02:00:00;-;
