Stasiun dan Perhentian;Datang;Berangkat;
Yogyakarta (YK);-;22:15:00;
Lempuyangan (LPN);Ls;22:18:00;
Maguwo (MGW);Ls;22:22:00;
Brambanan (BBN);Ls;22:27:00;
Srowot (SWT);Ls;22:31:00;
Klaten (KT);22:36:00;22:38:00;
Ceper (CE);Ls;22:45:00;
Delanggu (DL);Ls;22:49:00;
Gawok (GW);Ls;22:52:00;
Purwosari (PWS);Ls;22:56:00;
Solo Balapan (SLO);23:00:00;23:03:00;
Solojebres (SK);Ls;23:07:00;
Palur (PL);Ls;23:10:00;
Kemiri (KMR);Ls;23:13:00;
Masaran (MSR);Ls;23:18:00;
Sragen (SR);Ls;23:23:00;
Kebonromo (KRO);Ls;23:26:00;
Kedungbanteng (KDB);Ls;23:30:00;
Walikukun (WK);Ls;23:38:00;
Kedunggalar (KG);Ls;23:43:00;
Ngawi (NGW);Ls;23:48:00;
Geneng (GG);Ls;23:52:00;
Magetan (MAG);Ls;23:57:00;
Madiun (MN);00:05:00;00:11:00;
Babadan (BBD);Ls;00:19:00;
Caruban (CRB);Ls;00:24:00;
Saradan (SRD);Ls;00:29:00;
Bagor (BGR);Ls;00:39:00;
Nganjuk (NJ);00:45:00;00:47:00;
Sukomoro (SKM);Ls;00:52:00;
Baron (BRN);Ls;00:58:00;
Kertosono (KTS);Ls;01:03:00;
Sembung (SMB);Ls;01:08:00;
Jombang (JG);01:15:00;01:18:00;
Peterongan (PTR);Ls;01:23:00;
Sumobito (SBO);Ls;01:27:00;
Curahmalang (CRM);Ls;01:33:00;
Mojokerto (MR);01:36:00;01:38:00;
Tarik (TRK);Ls;01:46:00;
Kedinding (KDN);Ls;01:49:00;
Krian (KRN);Ls;01:53:00;
Boharan (BH);Ls;01:56:00;
Sepanjang (SPJ);Ls;02:03:00;
Wonokromo (WO);Ls;02:08:00;
Ngagel (NGA);Ls;02:10:00;
Surabaya Gubeng (SGU);02:15:00;-;
