Stasiun dan Perhentian;Datang;Berangkat;
Surabaya Gubeng (SGU);-;07:00:00;
Ngagel (NGA);Ls;07:02:00;
Wonokromo (WO);Ls;07:06:00;
Sepanjang (SPJ);Ls;07:10:00;
Boharan (BH);Ls;07:16:00;
Krian (KRN);Ls;07:19:00;
Kedinding (KDN);Ls;07:22:00;
Tarik (TRK);Ls;07:25:00;
Mojokerto (MR);07:33:00;07:35:00;
Curahmalang (CRM);Ls;07:40:00;
Sumobito (SBO);Ls;07:43:00;
Peterongan (PTR);Ls;07:50:00;
Jombang (JG);07:51:00;07:54:00;
Sembung (SMB);Ls;08:00:00;
Kertosono (KTS);Ls;08:06:00;
Baron (BRN);Ls;08:11:00;
Sukomoro (SKM);Ls;08:17:00;
Nganjuk (NJ);08:21:00;08:23:00;
Bagor (BGR);Ls;08:28:00;
Saradan (SRD);Ls;08:38:00;
Caruban (CRB);Ls;08:43:00;
Babadan (BBD);Ls;08:48:00;
Madiun (MN);08:55:00;09:02:00;
Magetan (MAG);Ls;09:11:00;
Geneng (GG);Ls;09:16:00;
Ngawi (NGW);Ls;09:20:00;
Kedunggalar (KG);Ls;09:25:00;
Walikukun (WK);Ls;09:31:00;
Kedungbanteng (KDB);Ls;09:39:00;
Kebonromo (KRO);Ls;09:43:00;
Sragen (SR);Ls;09:46:00;
Masaran (MSR);Ls;09:51:00;
Kemiri (KMR);Ls;09:56:00;
Palur (PL);Ls;09:59:00;
Solojebres (SK);Ls;10:02:00;
Solo Balapan (SLO);10:06:00;10:09:00;
Purwosari (PWS);Ls;10:13:00;
Gawok (GW);Ls;10:17:00;
Delanggu (DL);Ls;10:20:00;
Ceper (CE);Ls;10:24:00;
Klaten (KT);10:31:00;10:34:00;
Srowot (SWT);Ls;10:41:00;
Brambanan (BBN);Ls;10:45:00;
Maguwo (MGW);Ls;10:51:00;
Lempuyangan (LPN);Ls;10:56:00;
Yogyakarta (YK);11:00:00;-;
