Stasiun dan Perhentian;Datang;Berangkat;
Yogyakarta (YK);-;06:45:00;
Lempuyangan (LPN);Ls;06:48:00;
Maguwo (MGW);Ls;06:52:00;
Brambanan (BBN);Ls;06:57:00;
Srowot (SWT);Ls;07:01:00;
Klaten (KT);07:06:00;07:08:00;
Ceper (CE);Ls;07:15:00;
Delanggu (DL);Ls;07:19:00;
Gawok (GW);Ls;07:22:00;
Purwosari (PWS);Ls;07:26:00;
Solo Balapan (SLO);07:30:00;07:33:00;
Solojebres (SK);Ls;07:37:00;
Palur (PL);Ls;07:40:00;
Kemiri (KMR);Ls;07:43:00;
Masaran (MSR);Ls;07:48:00;
Sragen (SR);Ls;07:53:00;
Kebonromo (KRO);Ls;07:56:00;
Kedungbanteng (KDB);Ls;08:00:00;
Walikukun (WK);Ls;08:08:00;
Kedunggalar (KG);Ls;08:13:00;
Ngawi (NGW);Ls;08:18:00;
Geneng (GG);Ls;08:22:00;
Magetan (MAG);Ls;08:27:00;
Madiun (MN);08:35:00;08:41:00;
Babadan (BBD);Ls;08:48:00;
Caruban (CRB);Ls;08:53:00;
Saradan (SRD);Ls;08:58:00;
Bagor (BGR);Ls;09:09:00;
Nganjuk (NJ);09:15:00;09:17:00;
Sukomoro (SKM);Ls;09:22:00;
Baron (BRN);Ls;09:28:00;
Kertosono (KTS);Ls;09:33:00;
Sembung (SMB);Ls;09:38:00;
Jombang (JG);09:45:00;09:48:00;
Peterongan (PTR);Ls;09:54:00;
Sumobito (SBO);Ls;09:57:00;
Curahmalang (CRM);Ls;09:05:00;
Mojokerto (MR);10:06:00;10:08:00;
Tarik (TRK);Ls;10:16:00;
Kedinding (KDN);Ls;10:19:00;
Krian (KRN);Ls;10:22:00;
Boharan (BH);Ls;10:26:00;
Sepanjang (SPJ);Ls;10:32:00;
Wonokromo (WO);Ls;10:38:00;
Ngagel (NGA);Ls;10:42:00;
Surabaya Gubeng (SGU);10:45:00;-;
