Stasiun;Latitude;Longitude;
Adi Soemarmo (SMO);-7,512970;110,747900;
Aek Loba (AKB);2,651563;99,615940;
Air Asam  (ASM);-3,647430;104,300800;
Air Tawar (ATR);-0,900429;100,350915;
Alastua (ATA);-6,984170;110,475400;
Ambarawa (ABR);-7,265270;110,401324;
Ancol (AC);-6,128250;106,845000;
Andir (AND);-6,907950;107,579300;
Angke (AK);-6,142830;106,800600;
Aras Kabu (ARB);3,612704;98,847970;
Argopuro (AGO);-8,183470;114,369200;
Arjasa (AJ);-8,129050;113,743300;
Arjawinangun (AWN);-6,644750;108,414600;
Awipari (AW);-7,353210;108,273800;
Babadan (BBD);-7,587210;111,589100;
Babakan (BBK);-6,860810;108,719800;
Babat (BBT);-7,106350;112,168800;
Bagor (BGR);-7,571470;111,852500;
Bahlias (BLI);3,201835;99,340500;
Bajalinggei (BJL);3,167337;99,111060;
Bamban (BMB);3,438496;99,167020;
Bandar Khalipah (BAP);3,593746;98,754920;
Bandar Tinggi (BDT);3,284627;99,303590;
Bandara Internasional Minangkabau (BIM);-0,783456;100,286379;
Bandung (BD);-6,914410;107,602500;
Bangil (BG);-7,600990;112,781800;
Bangoduwa (BDW);-6,663120;108,460200;
Bangsalsari (BSS);-8,202320;113,531600;
Banjar (BJR);-7,375800;108,542300;
Banjarkemantren (BJK);-7,411070;112,726400;
Banjarsari (BJI);-3,676620;103,698600;
Banyuwangi Kota (BWI);-8,226290;114,341700;
Baron (BRN);-7,602870;112,039000;
Batang (BTG);-6,906350;109,732700;
Batang Baru (BTG);-6,909939;109,747582;
Batang Kuis (BTK);3,611824;98,801770;
Batu Tabal (BTL);-0,543660;100,522500;
Batuceper (BPR);-6,172060;106,665400;
Baturaja (BTA);-4,127950;104,161400;
Batutulis (BTT);-6,626690;106,810100;
Bayeman (BYM);-7,734860;113,118800;
Bedono (BDN);-7,309094;110,353009;
Bekasi (BKS);-6,235850;106,998300;
Bekasitimur (BKST);-6,246490;107,018000;
Bekri (BKI);-5,072610;105,136200;
Belatung (BLT);-4,024400;104,231500;
Belawan (BLW);3,778173;98,681730;
Belimbing Air Kaka (BIK);-3,991070;104,291800;
Belimbing Pendopo (BIB);-3,443380;103,975600;
Benowo (BNW);-7,234200;112,616300;
Benteng (BET);-7,213460;112,739200;
Besitang (BSG);4,042927;98,185900;
Binjai (BIJ);3,609740;98,497990;
Blambangan Pagar (BBA);-4,895170;105,039400;
Blambangan Umpu (BBU);-4,498060;104,520200;
Blimbing (BMG);-7,939870;112,644700;
Blitar (BL);-8,101380;112,162600;
Bogor (BOO);-6,594000;106,790700;
Bogor Paledang (BOP);-6,597119;106,790396;
Boharan (BH);-7,387040;112,620700;
Bojonegoro (BJ);-7,163410;111,885800;
Bojong (BJG);-7,346820;108,429200;
Bojong Gede (BJD);-6,493240;106,795000;
Bojong Indah (BOI);-6,159650;106,737100;
Bowerno (BWO);-7,131290;112,099700;
Brambanan (BBN);-7,756560;110,499800;
Branti (BTI);-5,256260;105,179100;
Brebes (BB);-6,874370;109,043200;
Brumbung (BBG);-7,025410;110,522000;
Buaran (BUA);-6,216200;106,928000;
Buduran (BDR);-7,427430;112,723000;
